已完成重跑课件（共 112 个）
《蝙蝠和雷达》 H5互动课件（重制版） | 语文四年级 | 风格:te-quantum-blue | ID:6a948c04-553a-4bbb-af41-b13eac95a3db
《蝙蝠和雷达》H5互动课件 | 语文四年级 | 风格:te-quantum-blue | ID:dc0508ee-7add-49dd-941c-820d0a3042f0
《蝙蝠和雷达》PPT课件 |  | 风格:te-quantum-blue | ID:c19a66c9-c88f-445d-aec0-a1456efc0f3e
《大数的认识》第一课时PPT课件 |  | 风格:aca-edu-blue | ID:f5356aaf-a92d-491c-a49f-f02f689f5462
《地球的运动》 H5互动课件（重制版） | 科学四年级 | 风格:min-classic-blue | ID:31a7381c-6ac0-477e-96b4-f4a683ec3a06
《地球的运动》H5互动课件 | 科学四年级 | 风格:min-classic-blue | ID:af4dd296-f976-4e04-904c-38227d73f263
《繁星》 H5互动课件（重制版） | 语文四年级 | 风格:fr-mint | ID:1d3834cb-1bda-427a-9844-e6ab1a70d35c
《繁星》阅读 H5互动课件（重制版） | 语文四年级 | 风格:fr-mint | ID:63634657-b33f-45ae-8d97-69f6dfb6cc57
《繁星》阅读H5互动课件 | 语文四年级 | 风格:fr-mint | ID:be6c8978-c7c5-4624-83d8-daf60a50cd77
《繁星》阅读PPT课件 |  | 风格:fr-mint | ID:85d09eff-d4e2-4c86-9e82-48abc00d5376
《繁星》H5互动课件 | 语文四年级 | 风格:fr-mint | ID:a7f61bd3-295e-494a-b5b7-e30bfc2b883b
《繁星》PPT课件 |  | 风格:fr-mint | ID:32103b64-36e0-40ff-9ad5-1264aec85e4b
《公顷和平方千米》PPT课件 |  | 风格:aca-edu-blue | ID:fca4c3f8-8dfc-4c0f-b351-fe44c253bffe
《古诗三首·暮江吟》 H5互动课件（重制版） | 语文四年级 | 风格:zgf-ink-wash | ID:0ea1e50e-d9cb-4d43-9f65-16d5d18b27d0
《古诗三首·暮江吟》H5互动课件 | 语文四年级 | 风格:zgf-ink-wash | ID:783175e5-227f-4e83-9c19-94a877df8d8e
《古诗三首·暮江吟》PPT课件 |  | 风格:zgf-ink-wash | ID:f075de43-6295-4ac7-a276-7bfd79377826
《观潮》第二课时 H5互动课件（重制版） | 语文四年级 | 风格:zgf-ink-wash | ID:2b5246e2-35cc-473d-8fb5-aedae8df5e74
《观潮》第二课时H5互动课件 | 语文四年级 | 风格:zgf-ink-wash | ID:ff3e70b8-fee3-4abc-a947-1ae4eba9efb3
《观潮》第二课时PPT课件 |  | 风格:zgf-ink-wash | ID:bdf39197-edbb-4d92-85f7-556147852057
《观潮》第一课时 H5互动课件（重制版） | 语文四年级 | 风格:zgf-ink-wash | ID:3e7326d7-a6b9-4bd1-a8f9-38d654c1c24c
《观潮》第一课时·初稿 H5互动课件（重制版） | 语文四年级 | 风格:zgf-ink-wash | ID:618e4729-aed6-4e88-9ff0-b3af7c45c022
《观潮》第一课时·初稿H5互动课件 | 语文四年级 | 风格:zgf-ink-wash | ID:244db682-622b-494d-b356-9e8471e17031
《观潮》第一课时·初稿PPT课件 |  | 风格:zgf-ink-wash | ID:2f95ba62-d0be-43ca-892d-2a5d5eab32c5
《观潮》第一课时H5互动课件 | 语文四年级 | 风格:zgf-ink-wash | ID:8fa9599f-fd27-4a8d-9325-cf1adc5540a9
《观潮》第一课时PPT课件 |  | 风格:zgf-ink-wash | ID:61857937-5256-46c9-addb-3df8863c7bca
《桂花雨》精读 H5互动课件（重制版） | 语文四年级 | 风格:zgf-ink-wash | ID:2f229793-56b7-4ade-b657-be2a1801a8b9
《桂花雨》精读H5互动课件 | 语文四年级 | 风格:zgf-ink-wash | ID:5c64eed2-a6f7-4f84-8a0b-8dbbc833530f
《桂花雨》精读PPT课件 |  | 风格:zgf-ink-wash | ID:49741603-f8eb-4517-bd66-9e21e72cdce3
