学校名,类型,省,市,区县
北京第二实验小学,小学,北京市,北京市,西城区
北京小学,小学,北京市,北京市,西城区
史家小学,小学,北京市,北京市,东城区
建华实验学校,小学,北京市,北京市,海淀区
平房中心小学,小学,北京市,北京市,朝阳区
中关村第三小学南校区,小学,北京市,北京市,海淀区
史各庄中心小学,小学,北京市,北京市,昌平区
北京延庆第二小学,小学,北京市,北京市,延庆区
北京市西城区厂桥小学,小学,北京市,北京市,西城区
中关村第一小学,小学,北京市,北京市,海淀区
北京延庆第三小学,小学,北京市,北京市,延庆区
崇文小学,小学,北京市,北京市,东城区
流村中心小学,小学,北京市,北京市,昌平区
阎仙垡完全小学,小学,北京市,北京市,房山区
北京大学附属小学,小学,北京市,北京市,海淀区
旧县中心小学,小学,北京市,北京市,延庆区
北京地坛小学,小学,北京市,北京市,东城区
奋斗小学,小学,北京市,北京市,西城区
北京市延庆区第四小学,小学,北京市,北京市,延庆区
空港小学,小学,北京市,北京市,顺义区
北京市海淀区五一小学,小学,北京市,北京市,海淀区
北京小学广外校区,小学,北京市,北京市,西城区
中古友谊小学,小学,北京市,北京市,西城区
怀柔区第二小学,小学,北京市,北京市,怀柔区
亦庄第二中心小学,小学,北京市,北京市,大兴区
人大附中实验小学,小学,北京市,北京市,海淀区
东高地第一小学,小学,北京市,北京市,丰台区
北京华德中杉学校,小学,北京市,北京市,石景山区
黄土岗小学,小学,北京市,北京市,丰台区
房山长育中心小学,小学,北京市,北京市,房山区
史家小学分校,小学,北京市,北京市,东城区
中国人民大学附属小学银燕校区,小学,北京市,北京市,海淀区
培新小学,小学,北京市,北京市,东城区
东风小学,小学,北京市,北京市,房山区
中关村第一小学天秀分校,小学,北京市,北京市,海淀区
花家地实验小学,小学,北京市,北京市,朝阳区
前进小学,小学,北京市,北京市,海淀区
大兴区黄村镇狼各庄民族小学,小学,北京市,北京市,大兴区
天通苑小学,小学,北京市,北京市,昌平区
北京市史家小学通州分校,小学,北京市,北京市,通州区
北京雷锋小学,小学,北京市,北京市,西城区
东高地第四小学,小学,北京市,北京市,丰台区
育民小学北校区,小学,北京市,北京市,西城区
北京八中京西附属小学,小学,北京市,北京市,门头沟区
白家庄小学(本校北部),小学,北京市,北京市,朝阳区
北京市房山区良乡小学,小学,北京市,北京市,房山区
清华大学附属小学,小学,北京市,北京市,海淀区
北京市丰台区丰台第一小学,小学,北京市,北京市,丰台区
北京第一实验小学,小学,北京市,北京市,西城区
东方德才学校甜水园校区,小学,北京市,北京市,朝阳区
大峪第二小学,小学,北京市,北京市,门头沟区
北京市海淀区翠微小学,小学,北京市,北京市,海淀区
北京石油学院附属小学,小学,北京市,北京市,海淀区
白家庄小学,小学,北京市,北京市,朝阳区
展览路第一小学,小学,北京市,北京市,西城区
北京市海淀区民族小学,小学,北京市,北京市,海淀区
中关村第二小学(中关村校区),小学,北京市,北京市,海淀区
运河小学,小学,北京市,北京市,通州区
北京市东四十四条小学,小学,北京市,北京市,东城区
大峪第一小学,小学,北京市,北京市,门头沟区
黄城根小学,小学,北京市,北京市,西城区
翠微小学东校区,小学,北京市,北京市,海淀区
南尚乐中心校下滩明德小学,小学,北京市,北京市,房山区
星火小学,小学,北京市,北京市,海淀区
黑山小学,小学,北京市,北京市,门头沟区
中关村第二小学华清分校,小学,北京市,北京市,海淀区
芳草地国际学校日坛校区,小学,北京市,北京市,朝阳区
顺义区光明小学,小学,北京市,北京市,顺义区
万泉小学,小学,北京市,北京市,海淀区
府学小学,小学,北京市,北京市,东城区
北京进步小学,小学,北京市,北京市,西城区
方家胡同小学,小学,北京市,北京市,东城区
东高地第三小学,小学,北京市,北京市,丰台区
亦庄镇第一中心小学,小学,北京市,北京市,大兴区
体育馆路小学,小学,北京市,北京市,东城区
石园小学,小学,北京市,北京市,顺义区
北京丰台第五小学科丰校区,小学,北京市,北京市,丰台区
双榆树中心小学,小学,北京市,北京市,海淀区
和平里第九小学,小学,北京市,北京市,东城区
顺城街第一小学,小学,北京市,北京市,西城区
宝华里小学,小学,北京市,北京市,东城区
海淀区七一小学,小学,北京市,北京市,海淀区
东城区板厂小学,小学,北京市,北京市,东城区
怀柔区第一小学,小学,北京市,北京市,怀柔区
密云第二小学,小学,北京市,北京市,密云区
北京朝阳外语小学,小学,北京市,北京市,朝阳区
新鲜胡同小学,小学,北京市,北京市,东城区
育园小学,小学,北京市,北京市,门头沟区
通州区张家湾镇中心小学,小学,北京市,北京市,通州区
西城区三里河第三小学,小学,北京市,北京市,西城区
石景山外语实验小学,小学,北京市,北京市,石景山区
北京市丰台区师范学校附属小学,小学,北京市,北京市,丰台区
北京市东城区分司厅小学,小学,北京市,北京市,东城区
青年湖小学,小学,北京市,北京市,西城区
石景山区实验小学,小学,北京市,北京市,石景山区
阳春小学,小学,北京市,北京市,丰台区
北京光明小学,小学,北京市,北京市,东城区
马各庄小学,小学,北京市,北京市,房山区
十八里店小学,小学,北京市,北京市,朝阳区
芳草地国际学校远洋小学,小学,北京市,北京市,朝阳区
东交民巷小学,小学,北京市,北京市,东城区
中国农业大学附属小学,小学,北京市,北京市,海淀区
北京市海淀区苏家坨中心小学,小学,北京市,北京市,海淀区
白家庄小学南校区,小学,北京市,北京市,朝阳区
成寿寺小学,小学,北京市,北京市,丰台区
北京明远教育书院实验小学,小学,北京市,北京市,朝阳区
东小口中心小学,小学,北京市,北京市,昌平区
四合庄小学,小学,北京市,北京市,丰台区
定慧里小学,小学,北京市,北京市,海淀区
海淀区实验小学(西三环校区),小学,北京市,北京市,海淀区
北京力学小学,小学,北京市,北京市,西城区
灯市口小学,小学,北京市,北京市,东城区
