bookId,学段,学科,年级,册次,版本,教材标题,封面本地路径,下载成功
bdc00134-465d-454b-a541-dcd0cec4d86e,小学,道德与法治,一年级,上册,统编版,（根据2022年版课程标准修订）义务教育教科书·道德与法治一年级上册,output\教材封面\bd\bdc00134-465d-454b-a541-dcd0cec4d86e.jpg,True
1e04e52e-41df-4689-b12a-f3b7315a4243,小学,道德与法治,一年级,下册,统编版,（根据2022年版课程标准修订）义务教育教科书·道德与法治一年级下册,output\教材封面\1e\1e04e52e-41df-4689-b12a-f3b7315a4243.jpg,True
cfdc0cbb-d23a-4b1d-ab28-a4d59b991dc6,小学,道德与法治,二年级,上册,统编版,（根据2022年版课程标准修订）义务教育教科书·道德与法治二年级上册,output\教材封面\cf\cfdc0cbb-d23a-4b1d-ab28-a4d59b991dc6.jpg,True
9d7e48c5-1d0c-4bad-99b6-d30f6f6d5d07,小学,道德与法治,二年级,下册,统编版,（根据2022年版课程标准修订）义务教育教科书·道德与法治二年级下册,output\教材封面\9d\9d7e48c5-1d0c-4bad-99b6-d30f6f6d5d07.jpg,True
87b8e557-b0b8-4456-ab8d-9d48bbdf302c,小学,道德与法治,三年级,上册,统编版,（根据2022年版课程标准修订）义务教育教科书·道德与法治三年级上册,output\教材封面\87\87b8e557-b0b8-4456-ab8d-9d48bbdf302c.jpg,True
298c4008-cc8e-4ab4-ba45-a52c346e7a26,小学,道德与法治,三年级,下册,统编版,（根据2022年版课程标准修订）义务教育教科书·道德与法治三年级下册,output\教材封面\29\298c4008-cc8e-4ab4-ba45-a52c346e7a26.jpg,True
d0b4fc66-7de6-4e81-b965-7cc6f34a48be,小学,道德与法治,四年级,上册,统编版,义务教育教科书·道德与法治四年级上册,output\教材封面\d0\d0b4fc66-7de6-4e81-b965-7cc6f34a48be.jpg,True
2e9e59bd-c983-46e2-ad5d-4840ea0a0f5a,小学,道德与法治,四年级,下册,统编版,义务教育教科书·道德与法治四年级下册,output\教材封面\2e\2e9e59bd-c983-46e2-ad5d-4840ea0a0f5a.jpg,True
5f380546-7207-4ac7-b3e0-1f66dc9fd575,小学,道德与法治,五年级,上册,统编版,义务教育教科书·道德与法治五年级上册,output\教材封面\5f\5f380546-7207-4ac7-b3e0-1f66dc9fd575.jpg,True
b0d10d30-4837-452d-9221-599f230d237e,小学,道德与法治,五年级,下册,统编版,义务教育教科书·道德与法治五年级下册,output\教材封面\b0\b0d10d30-4837-452d-9221-599f230d237e.jpg,True
c6ce4c92-b125-48cb-9b5b-4d336f28f242,小学,道德与法治,六年级,上册,统编版,义务教育教科书·道德与法治六年级上册,output\教材封面\c6\c6ce4c92-b125-48cb-9b5b-4d336f28f242.jpg,True
4c7f4f5d-ff5a-47db-98be-92d38009172a,小学,道德与法治,六年级,下册,统编版,义务教育教科书·道德与法治六年级下册,output\教材封面\4c\4c7f4f5d-ff5a-47db-98be-92d38009172a.jpg,True
34cf9a26-a2c3-4b4c-9a45-3d3999d5e072,小学,道德与法治,学生读本,学生读本（小学高年级）,统编版,习近平新时代中国特色社会主义思想学生读本·小学高年级,output\教材封面\34\34cf9a26-a2c3-4b4c-9a45-3d3999d5e072.jpg,True
4e249fec-bc76-4efa-94dc-64117a8e662b,小学,道德与法治,学生读本,学生读本（小学低年级）,统编版,习近平新时代中国特色社会主义思想学生读本·小学低年级,output\教材封面\4e\4e249fec-bc76-4efa-94dc-64117a8e662b.jpg,True
1c73b348-e8b6-47d6-84b0-6dbacbe28268,小学,语文,一年级,上册,统编版,（根据2022年版课程标准修订）义务教育教科书·语文一年级上册,output\教材封面\1c\1c73b348-e8b6-47d6-84b0-6dbacbe28268.jpg,True
b87e153f-a64c-451a-aa6c-6ed9ac7d6821,小学,语文,一年级,下册,统编版,（根据2022年版课程标准修订）义务教育教科书·语文一年级下册,output\教材封面\b8\b87e153f-a64c-451a-aa6c-6ed9ac7d6821.jpg,True
2ce8f153-7bff-4c97-b6db-9aac414fea19,小学,语文,二年级,上册,统编版,（根据2022年版课程标准修订）义务教育教科书·语文二年级上册,output\教材封面\2c\2ce8f153-7bff-4c97-b6db-9aac414fea19.jpg,True
0f93b83e-b3c2-4a5d-8acd-ea460ab962d4,小学,语文,二年级,下册,统编版,（根据2022年版课程标准修订）义务教育教科书·语文二年级下册,output\教材封面\0f\0f93b83e-b3c2-4a5d-8acd-ea460ab962d4.jpg,True
837f368e-fd4e-404a-ae3f-342d75bc0227,小学,语文,三年级,上册,统编版,（根据2022年版课程标准修订）义务教育教科书·语文三年级上册,output\教材封面\83\837f368e-fd4e-404a-ae3f-342d75bc0227.jpg,True
8e107655-5128-451f-84e5-d158725c537b,小学,语文,三年级,下册,统编版,（根据2022年版课程标准修订）义务教育教科书·语文三年级下册,output\教材封面\8e\8e107655-5128-451f-84e5-d158725c537b.jpg,True
5cd7e623-5c38-4602-871a-3fba8a551db2,小学,语文,四年级,上册,统编版,义务教育教科书·语文四年级上册,output\教材封面\5c\5cd7e623-5c38-4602-871a-3fba8a551db2.jpg,True
53d6315e-5f90-42c4-904f-2d4e95fe99ed,小学,语文,四年级,下册,统编版,义务教育教科书·语文四年级下册,output\教材封面\53\53d6315e-5f90-42c4-904f-2d4e95fe99ed.jpg,True
aabf2e4a-3ceb-4e86-8804-22c10223cc57,小学,语文,五年级,上册,统编版,义务教育教科书·语文五年级上册,output\教材封面\aa\aabf2e4a-3ceb-4e86-8804-22c10223cc57.jpg,True
98172dc9-8fba-4da6-9fae-6a3d1166f038,小学,语文,五年级,下册,统编版,义务教育教科书·语文五年级下册,output\教材封面\98\98172dc9-8fba-4da6-9fae-6a3d1166f038.jpg,True
2e3dc199-9c42-486b-bbee-7731bd0ee227,小学,语文,六年级,上册,统编版,义务教育教科书·语文六年级上册,output\教材封面\2e\2e3dc199-9c42-486b-bbee-7731bd0ee227.jpg,True
06422d77-21f1-45c3-b409-fa2947eee424,小学,语文,六年级,下册,统编版,义务教育教科书·语文六年级下册,output\教材封面\06\06422d77-21f1-45c3-b409-fa2947eee424.jpg,True
c3e06fe4-c6b3-49cb-8727-4f8ff69bbfbc,小学,数学,一年级,上册,人教版,（根据2022年版课程标准修订）义务教育教科书 · 数学一年级上册,output\教材封面\c3\c3e06fe4-c6b3-49cb-8727-4f8ff69bbfbc.jpg,True
8cfc5a2a-425c-4b9a-a97c-e78d4a4c1e3a,小学,数学,二年级,上册,人教版,（根据2022年版课程标准修订）义务教育教科书 · 数学二年级上册,output\教材封面\8c\8cfc5a2a-425c-4b9a-a97c-e78d4a4c1e3a.jpg,True
33c8d495-9862-4e19-aab9-61d2af08608a,小学,数学,三年级,上册,人教版,（根据2022年版课程标准修订）义务教育教科书 · 数学三年级上册,output\教材封面\33\33c8d495-9862-4e19-aab9-61d2af08608a.jpg,True
654e3d1e-c995-4340-81c5-abd7881d835b,小学,数学,四年级,上册,人教版,义务教育教科书 · 数学四年级上册,output\教材封面\65\654e3d1e-c995-4340-81c5-abd7881d835b.jpg,True
d0d6252f-2233-4f66-9ac9-440638d56fec,小学,数学,五年级,上册,人教版,义务教育教科书 · 数学五年级上册,output\教材封面\d0\d0d6252f-2233-4f66-9ac9-440638d56fec.jpg,True
845136d4-e27b-4e7e-b9a9-00cadf4f9e20,小学,数学,六年级,上册,人教版,义务教育教科书 · 数学六年级上册,output\教材封面\84\845136d4-e27b-4e7e-b9a9-00cadf4f9e20.jpg,True
7b435b01-7a16-4b72-8b38-653fe9eb94ae,小学,数学,一年级,上册,北京版,（根据2022年版课程标准修订）义务教育教科书•数学一年级上册,output\教材封面\7b\7b435b01-7a16-4b72-8b38-653fe9eb94ae.jpg,True
